id,vid,token,vtoken,lctoken,freq,loglik,logfreq,llrank,freqrank,idbrac10,idbrac50,idbrac100,vidbrac10,vidbrac50,vidbrac100,freqbrac10,freqbrac50,freqbrac100,llbrac10,llbrac50,llbrac100
220,220,at,at,at,3,-52.81,1.0986122886681098,89,136,7,38,76,7,38,76,9,45,90,5,29,59
220,"", ,"","",0,"",-Infinity,"","",7,38,76,0,0,0,0,0,0,0,0,0
221,221,it,it,it,11,-211.44,2.3978952727983707,65,102,7,38,77,7,38,77,6,34,68,4,21,43
221,"",", ","","",0,"",-Infinity,"","",7,38,77,0,0,0,0,0,0,0,0,0
222,222,and,and,and,8,-143.51,2.0794415416798357,30,148,7,38,77,7,38,77,9,49,98,2,10,20
222,"", ,"","",0,"",-Infinity,"","",7,38,77,0,0,0,0,0,0,0,0,0
223,223,then,then,then,1,-8.64,0.0,120,33,7,38,77,7,38,77,2,11,22,8,40,80
223,"", ,"","",0,"",-Infinity,"","",7,38,77,0,0,0,0,0,0,0,0,0
224,224,hurried,hurried,hurried,1,-9.21,0.0,144,31,7,39,78,7,39,78,2,10,20,9,48,96
224,"", ,"","",0,"",-Infinity,"","",7,39,78,0,0,0,0,0,0,0,0,0
225,225,on,on,on,2,-28.88,0.6931471805599453,75,126,7,39,78,7,39,78,8,42,84,5,25,50
225,"",",
","","",0,"",-Infinity,"","",7,39,78,0,0,0,0,0,0,0,0,0
226,226,Alice,Alice,alice,6,-73.34,1.791759469228055,91,143,7,39,79,7,39,79,9,47,95,6,30,60
226,"", ,"","",0,"",-Infinity,"","",7,39,79,0,0,0,0,0,0,0,0,0
227,227,started,started,started,1,-8.64,0.0,121,30,7,39,79,7,39,79,2,10,20,8,40,80
227,"", ,"","",0,"",-Infinity,"","",7,39,79,0,0,0,0,0,0,0,0,0
228,228,to,to,to,9,-158.44,2.1972245773362196,32,150,7,39,79,7,39,79,10,50,100,2,10,21
228,"", ,"","",0,"",-Infinity,"","",7,39,79,0,0,0,0,0,0,0,0,0
229,229,her,her,her,8,-101.76,2.0794415416798357,5,147,8,40,80,8,40,80,9,49,98,0,1,3
229,"", ,"","",0,"",-Infinity,"","",8,40,80,0,0,0,0,0,0,0,0,0
230,230,feet,feet,feet,1,-8.66,0.0,131,29,8,40,80,8,40,80,1,9,19,8,43,87
230,"",", ","","",0,"",-Infinity,"","",8,40,80,0,0,0,0,0,0,0,0,0
231,231,for,for,for,2,-28.88,0.6931471805599453,72,110,8,40,80,8,40,80,7,36,73,4,24,48
231,"", ,"","",0,"",-Infinity,"","",8,40,80,0,0,0,0,0,0,0,0,0
232,232,it,it,it,11,-211.44,2.3978952727983707,65,102,8,40,81,8,40,81,6,34,68,4,21,43
232,"", ,"","",0,"",-Infinity,"","",8,40,81,0,0,0,0,0,0,0,0,0
233,233,flashed,flashed,flashed,1,-17.08,0.0,47,27,8,40,81,8,40,81,1,9,18,3,15,31
233,"", ,"","",0,"",-Infinity,"","",8,40,81,0,0,0,0,0,0,0,0,0
234,234,across,across,across,2,-35.88,0.6931471805599453,81,123,8,40,81,8,40,81,8,41,82,5,27,54
234,"", ,"","",0,"",-Infinity,"","",8,40,81,0,0,0,0,0,0,0,0,0
235,235,her,her,her,8,-101.76,2.0794415416798357,5,147,8,41,82,8,41,82,9,49,98,0,1,3
235,"", ,"","",0,"",-Infinity,"","",8,41,82,0,0,0,0,0,0,0,0,0
236,236,mind,mind,mind,2,-20.06,0.6931471805599453,60,112,8,41,82,8,41,82,7,37,74,4,20,40
236,"", ,"","",0,"",-Infinity,"","",8,41,82,0,0,0,0,0,0,0,0,0
237,237,that,that,that,3,-46.65,1.0986122886681098,86,131,8,41,82,8,41,82,8,43,87,5,28,57
237,"", ,"","",0,"",-Infinity,"","",8,41,82,0,0,0,0,0,0,0,0,0
238,238,she,she,she,7,-119.53,1.9459101490553132,8,145,8,41,83,8,41,83,9,48,96,0,2,5
238,"", ,"","",0,"",-Infinity,"","",8,41,83,0,0,0,0,0,0,0,0,0
239,239,had,had,had,3,-32.42,1.0986122886681098,76,137,8,41,83,8,41,83,9,45,91,5,25,50
239,"","
","","",0,"",-Infinity,"","",8,41,83,0,0,0,0,0,0,0,0,0
240,240,never,never,never,1,-16.03,0.0,33,25,8,41,83,8,41,83,1,8,16,2,11,22
240,"", ,"","",0,"",-Infinity,"","",8,41,83,0,0,0,0,0,0,0,0,0
241,241,before,before,before,1,-8.64,0.0,111,23,8,42,84,8,42,84,1,7,15,7,37,74
241,"", ,"","",0,"",-Infinity,"","",8,42,84,0,0,0,0,0,0,0,0,0
242,242,seen,seen,seen,1,-17.08,0.0,41,21,8,42,84,8,42,84,1,7,14,2,13,27
242,"", ,"","",0,"",-Infinity,"","",8,42,84,0,0,0,0,0,0,0,0,0
243,243,a,a,a,8,-131.86,2.0794415416798357,21,149,8,42,84,8,42,84,9,49,99,1,7,14
243,"", ,"","",0,"",-Infinity,"","",8,42,84,0,0,0,0,0,0,0,0,0
244,244,rabbit,rabbit,rabbit,6,-110.09,1.791759469228055,7,142,8,42,85,8,42,85,9,47,94,0,2,4
244,"", ,"","",0,"",-Infinity,"","",8,42,85,0,0,0,0,0,0,0,0,0
245,245,with,with,with,3,-46.65,1.0986122886681098,85,132,8,42,85,8,42,85,8,44,88,5,28,56
245,"", ,"","",0,"",-Infinity,"","",8,42,85,0,0,0,0,0,0,0,0,0
246,246,either,either,either,1,-17.08,0.0,45,20,8,43,86,8,43,86,1,6,13,3,15,30
246,"", ,"","",0,"",-Infinity,"","",8,43,86,0,0,0,0,0,0,0,0,0
247,247,a,a,a,8,-131.86,2.0794415416798357,21,149,8,43,86,8,43,86,9,49,99,1,7,14
247,"", ,"","",0,"",-Infinity,"","",8,43,86,0,0,0,0,0,0,0,0,0
248,248,waistcoat,waistcoat,waistcoat,2,-21.66,0.6931471805599453,64,104,8,43,86,8,43,86,6,34,69,4,21,42
248,"",-,"","",0,"",-Infinity,"","",8,43,86,0,0,0,0,0,0,0,0,0
249,249,pocket,pocket,pocket,2,-26.91,0.6931471805599453,69,127,8,43,87,8,43,87,8,42,84,4,23,46
249,"",", ","","",0,"",-Infinity,"","",8,43,87,0,0,0,0,0,0,0,0,0
250,250,or,or,or,4,-74.39,1.3862943611198906,92,139,8,43,87,8,43,87,9,46,92,6,30,61
250,"", ,"","",0,"",-Infinity,"","",8,43,87,0,0,0,0,0,0,0,0,0
251,251,a,a,a,8,-131.86,2.0794415416798357,21,149,8,43,87,8,43,87,9,49,99,1,7,14
251,"", ,"","",0,"",-Infinity,"","",8,43,87,0,0,0,0,0,0,0,0,0
252,252,watch,watch,watch,2,-20.02,0.6931471805599453,59,124,8,44,88,8,44,88,8,41,82,3,19,39
252,"","
","","",0,"",-Infinity,"","",8,44,88,0,0,0,0,0,0,0,0,0
253,253,to,to,to,9,-158.44,2.1972245773362196,32,150,8,44,88,8,44,88,10,50,100,2,10,21
253,"", ,"","",0,"",-Infinity,"","",8,44,88,0,0,0,0,0,0,0,0,0
254,254,take,take,take,1,-8.64,0.0,109,19,8,44,88,8,44,88,1,6,12,7,36,72
254,"", ,"","",0,"",-Infinity,"","",8,44,88,0,0,0,0,0,0,0,0,0
255,255,out,out,out,3,-55.04,1.0986122886681098,90,129,8,44,89,8,44,89,8,43,86,6,30,60
255,"", ,"","",0,"",-Infinity,"","",8,44,89,0,0,0,0,0,0,0,0,0
256,256,of,of,of,8,-132.92,2.0794415416798357,22,146,8,44,89,8,44,89,9,48,97,1,7,14
256,"", ,"","",0,"",-Infinity,"","",8,44,89,0,0,0,0,0,0,0,0,0
